scenario,T_yr,touch_freq,terminal_freq,pathwise_min_mean,pathwise_min_p05,pathwise_min_min
above/EM,1.0,0.0144,0.0025,0.020769359889698545,0.0025989133441578047,-0.006778216169563169
above/EM,2.0,0.0499,0.0046,0.015372018987528435,3.0024480204526734e-07,-0.006778216169563169
above/EM,5.0,0.1568,0.0067,0.008238405260105715,-0.001791452015898386,-0.008024137986087261
above/EM,10.0,0.2991,0.0053,0.003587975761234847,-0.0026228851855608737,-0.01039973486160033
above/Exact,1.0,0.0,0.0,0.02130512963279516,0.004069966174743644,4.625860676838547e-05
above/Exact,2.0,0.0,0.0,0.01622076384051936,0.001384073531061247,2.3335270182111375e-06
above/Exact,5.0,0.0,0.0,0.009405120103046552,0.000420525951130616,2.3335270182111375e-06
above/Exact,10.0,0.0,0.0,0.004924920293833287,0.0002162142454674629,2.3335270182111375e-06
boundary/EM,1.0,0.0693,0.0164,0.01766873585196217,-0.000665784912831264,-0.013952982475943263
boundary/EM,2.0,0.17,0.0181,0.011762181410599098,-0.0025725807439179247,-0.016847207497474738
boundary/EM,5.0,0.4055,0.021,0.004460740485583232,-0.0045247668901837795,-0.016847207497474738
boundary/EM,10.0,0.6497,0.0191,0.00014858030057123873,-0.0058183771203305125,-0.01714044695778983
boundary/Exact,1.0,0.0,0.0,0.018152128624900912,0.0010334397605734297,5.92947122207204e-07
boundary/Exact,2.0,0.0,0.0,0.012609267547512962,0.00020295473993755058,1.0065447147092565e-08
boundary/Exact,5.0,0.0,0.0,0.00611155591726453,4.8236700759883915e-05,1.0065447147092565e-08
boundary/Exact,10.0,0.0,0.0,0.0024477375547030653,1.840363221974062e-05,1.0065447147092565e-08
below/EM,1.0,0.1589,0.0444,0.014693555277926418,-0.003386844504024875,-0.021100264930322042
below/EM,2.0,0.3325,0.0506,0.008455910514951977,-0.005369787575216624,-0.028245319478267673
below/EM,5.0,0.6366,0.0517,0.001178073994601414,-0.007745737899501204,-0.028245319478267673
below/EM,10.0,0.8559,0.0521,-0.0028511932528012167,-0.009458104868653604,-0.028245319478267673
below/Exact,1.0,0.0,0.0,0.01572431675358492,0.00013843677318102626,3.093200468651745e-09
below/Exact,2.0,0.0,0.0,0.010107896393318784,1.8006085709403e-05,7.32731552631664e-10
below/Exact,5.0,0.0,0.0,0.00397651606631936,2.5496128265648696e-06,7.32731552631664e-10
below/Exact,10.0,0.0,0.0,0.0011221083306351574,8.919883901143974e-07,9.244438003701847e-11
