model,T_yr,P0T,yield_pct,duration,convexity,DV01
constant,1.0,0.9634834193942216,3.7199999999999953,1.0,1.0,9.634834193942216e-05
DBM,1.0,0.9634994775850293,3.7183333333333337,1.0,1.0,9.634994775850294e-05
Vasicek,1.0,0.9629200205178066,3.778492305485489,0.7869386805747332,0.6192724869847019,7.577590104452778e-05
CIR,1.0,0.962935725548997,3.7768613389686205,0.7862842622164805,0.6182429410093151,7.571412065251845e-05
constant,2.0,0.9283002994475813,3.720000000000002,2.0,4.0,0.00018566005988951626
DBM,2.0,0.928424081072766,3.713333333333334,2.0,4.0,0.0001856848162145532
Vasicek,2.0,0.926452142769638,3.819644418713518,1.2642411176571153,1.5983056035749121,0.00011712588924309167
CIR,2.0,0.9265402869768058,3.8148875613287156,1.2609524141555026,1.5900009907645902,0.00011683232116757354
constant,5.0,0.8302735949819326,3.720000000000001,5.0,25.0,0.0004151367974909663
DBM,5.0,0.8320051346990701,3.678333333333335,5.0,25.0,0.00041600256734953503
Vasicek,5.0,0.8233323308806805,3.8879071116558896,1.8358300027522023,3.370271799005151,0.00015114981952666569
CIR,5.0,0.8238848230854723,3.8744907330277316,1.8210918502505125,3.316375527048835,0.00015003699368660388
constant,10.0,0.6893542425242224,3.72,10.0,100.0,0.0006893542425242224
DBM,10.0,0.7009397576772551,3.553333333333334,10.0,100.0,0.0007009397576772552
Vasicek,10.0,0.6750069099320852,3.930323512255817,1.986524106001829,3.946278023726366,0.0001340917498297893
CIR,10.0,0.6764021370335171,3.9096750253999857,1.9631620724875574,3.8540053228536415,0.00013278870211737325
