model,T_yr,P_closed,P_MC_EM,P_MC_exact,MC_EM_minus_CF_bp,MC_exact_minus_CF_bp,MC_EM_se_bp,MC_exact_se_bp,pathwise_abs_gap_EM_bp
Vasicek,1.0,0.9629200205178066,0.9629374776324279,0.9629469016222906,0.17457114621310943,0.26881104484011153,0.466915956276576,0.4588382128851389,0.6475003064960193
Vasicek,2.0,0.926452142769638,0.92649175152169,0.9265182280037818,0.3960875205200054,0.6608523414375345,1.0795248090478065,1.0640386865096736,1.2571903187444893
Vasicek,5.0,0.8233323308806805,0.8233857635264059,0.8234473439588849,0.5343264572543749,1.1501307820438456,2.5352315432532113,2.5138445653491894,1.895490015835137
Vasicek,10.0,0.6750069099320852,0.6749454893746343,0.6750160468871543,-0.6142055745095298,0.09136955069100061,3.6148785518685407,3.6001548293728867,1.6914735466056847
CIR,1.0,0.962935725548997,0.962984684217205,0.9629729716737371,0.48958668207976785,0.3724612474009792,0.7224657980651031,0.7261023059676954,80.87406372490464
CIR,2.0,0.9265402869768058,0.9266540359563645,0.9265598481624052,1.1374897955873653,0.1956118559942599,1.6745829079868897,1.6837772617444207,186.04685875480135
CIR,5.0,0.8238848230854723,0.8239978287922897,0.8234676364129584,1.1300570681738176,-4.171866725138917,3.939241660038197,3.9396456987085333,433.89978351177456
CIR,10.0,0.6764021370335171,0.6763384679921466,0.6762004006411104,-0.6366904137056206,-2.0173639240672614,5.595492735583999,5.562703991376047,622.0444434027174
DBM,1.0,0.9634994775850293,0.9635260982898406,0.9635260982898406,0.26620704811297635,0.26620704811297635,0.5494416115442928,0.5494416115442928,0.0
DBM,2.0,0.928424081072766,0.9285181943547199,0.9285181943547199,0.9411328195396695,0.9411328195396695,1.5008963563230044,1.5008963563230044,0.0
DBM,5.0,0.8320051346990701,0.8322227399515842,0.8322227399515842,2.176052525141303,2.176052525141303,5.363317853202021,5.363317853202021,0.0
DBM,10.0,0.7009397576772551,0.7014684216895527,0.7014684216895527,5.286640122975639,5.286640122975639,12.95297836129365,12.95297836129365,0.0
constant,1.0,0.9634834193942216,0.9634834193942216,0.9634834193942216,0.0,0.0,0.0,0.0,0.0
constant,2.0,0.9283002994475813,0.9283002994475813,0.9283002994475813,0.0,0.0,0.0,0.0,0.0
constant,5.0,0.8302735949819326,0.8302735949819326,0.8302735949819326,0.0,0.0,0.0,0.0,0.0
constant,10.0,0.6893542425242224,0.6893542425242224,0.6893542425242224,0.0,0.0,0.0,0.0,0.0
