model,h,T_bond,level,P_now,VaR_price,ES_price,VaR_loss,ES_loss,VaR_pct,ES_pct
constant,1.0,10.0,0.95,0.6893542425242224,0.715481168277546,0.7154811682775459,-0.02612692575332365,-0.026126925753323538,-0.037900580197568895,-0.037900580197568735
constant,1.0,10.0,0.99,0.6893542425242224,0.715481168277546,0.7154811682775459,-0.02612692575332365,-0.026126925753323538,-0.037900580197568895,-0.037900580197568735
DBM,1.0,10.0,0.95,0.7009397576772551,0.624289736649071,0.6011603554908175,0.07665002102818419,0.09977940218643766,0.10935322214020764,0.1423508954850592
DBM,1.0,10.0,0.99,0.7009397576772551,0.586463878778473,0.5688172624436056,0.11447587889878219,0.1321224952336495,0.16331771403312542,0.1884933673493875
Vasicek,1.0,10.0,0.95,0.6750069099320852,0.6829209335831511,0.6783753750434719,-0.00791402365106586,-0.003368465111386665,-0.01172435946153813,-0.004990267598483662
Vasicek,1.0,10.0,0.99,0.6750069099320852,0.6755037082626746,0.6718662292642318,-0.0004967983305893542,0.003140680667853446,-0.0007359899925162822,0.0046528126181248144
CIR,1.0,10.0,0.95,0.6764021370335171,0.6723192225682176,0.6632008647199665,0.004082914465299514,0.013201272313550616,0.006036223485641053,0.019516899179897868
CIR,1.0,10.0,0.99,0.6764021370335171,0.657521761646175,0.6497270060185767,0.018880375387342108,0.026675131014940456,0.02791294461331151,0.03943679292902448
constant,2.0,10.0,0.95,0.6893542425242224,0.7425983196756993,0.7425983196756994,-0.05324407715147694,-0.053244077151477054,-0.07723761437444995,-0.07723761437445012
constant,2.0,10.0,0.99,0.6893542425242224,0.7425983196756993,0.7425983196756994,-0.05324407715147694,-0.053244077151477054,-0.07723761437444995,-0.07723761437445012
DBM,2.0,10.0,0.95,0.7009397576772551,0.6214305238860959,0.5927344921121872,0.07950923379115926,0.10820526556506793,0.11343233554711411,0.15437170510007026
DBM,2.0,10.0,0.99,0.7009397576772551,0.5744725367024875,0.5529021282030615,0.1264672209747676,0.14803762947419363,0.1804252356776699,0.21119879112686452
Vasicek,2.0,10.0,0.95,0.6750069099320852,0.7067453019224084,0.701288858948801,-0.031738391990323134,-0.026281949016715767,-0.04701935865147876,-0.0389358221819686
Vasicek,2.0,10.0,0.99,0.6750069099320852,0.6978409933150206,0.6934816886046197,-0.022834083382935355,-0.018474778672534442,-0.03382792538410129,-0.027369762295312284
CIR,2.0,10.0,0.95,0.6764021370335171,0.6926581557632705,0.6808614433555694,-0.016256018729753352,-0.00445930632205227,-0.024033068258842345,-0.006592685146752134
CIR,2.0,10.0,0.99,0.6764021370335171,0.6734364502665685,0.6632462505773418,0.0029656867669486386,0.01315588645617538,0.004384502361206589,0.019449800253253012
constant,5.0,10.0,0.95,0.6893542425242224,0.8302735949819326,0.8302735949819322,-0.14091935245771026,-0.1409193524577098,-0.20442226037762967,-0.204422260377629
constant,5.0,10.0,0.99,0.6893542425242224,0.8302735949819326,0.8302735949819322,-0.14091935245771026,-0.1409193524577098,-0.20442226037762967,-0.204422260377629
DBM,5.0,10.0,0.95,0.7009397576772551,0.6918537304797275,0.6602668499494162,0.009086027197527602,0.040672907727838936,0.012962636372113487,0.05802625301583565
DBM,5.0,10.0,0.99,0.7009397576772551,0.6401669229031984,0.6164031283804163,0.060772834774056705,0.0845366292968388,0.08670193709006203,0.12060470014851597
Vasicek,5.0,10.0,0.95,0.6750069099320852,0.795089321014395,0.7889376266641032,-0.12008241108230977,-0.11393071673201793,-0.1778980471390903,-0.16878451917400505
Vasicek,5.0,10.0,0.99,0.6750069099320852,0.785050426347835,0.7801357904594747,-0.11004351641574972,-0.10512888052738945,-0.16302576284266715,-0.15574489531961505
CIR,5.0,10.0,0.95,0.6764021370335171,0.7775708772478301,0.7630900531931,-0.10116874021431299,-0.08668791615958282,-0.14956892457201074,-0.12816032270354472
CIR,5.0,10.0,0.99,0.6764021370335171,0.7542109888645236,0.7412544102637034,-0.0778088518310065,-0.06485227323018627,-0.11503342105371099,-0.09587827962017913
