Horizon,Instrument,mean,std,skew,kurt,min,max,p_loss,VaR95,VaR95_SE_delta,VaR95_SE_boot,ES95,ES95_SE_iid,ES95_SE_boot,VaR99,VaR99_SE_delta,VaR99_SE_boot,ES99,ES99_SE_iid,ES99_SE_boot
1.000000,Bond A,103.648130,1.095398,0.000253,-0.028368,99.271487,107.909037,0.000300,101.860936,0.022839,0.022914,101.393145,0.018642,0.027552,101.023057,0.044923,0.055414,100.714560,0.031106,0.043013
1.000000,Bond B,108.939656,15.251519,0.471836,0.337792,61.003483,179.964910,0.295700,86.267634,0.235167,0.248856,81.515693,0.181765,0.276320,78.387574,0.377775,0.401952,75.025263,0.323437,0.468320
1.000000,Portfolio,106.293893,7.989244,0.444210,0.303870,81.464723,143.891751,0.220500,94.341006,0.124921,0.123179,91.800238,0.097396,0.147784,90.173633,0.204002,0.221175,88.292107,0.169355,0.249942
2.000000,Bond A,107.570247,0.060455,0.066358,-0.035479,107.341491,107.812921,0.000000,107.471377,0.001207,0.001180,107.448347,0.000915,0.001335,107.434430,0.001758,0.001766,107.415997,0.001840,0.002583
2.000000,Bond B,112.961982,15.022228,0.460511,0.318176,64.436031,179.188414,0.195900,90.521592,0.238960,0.219516,85.844537,0.180720,0.273362,83.013169,0.354673,0.375956,79.417540,0.333347,0.476084
2.000000,Portfolio,110.266114,7.493209,0.461974,0.319974,86.048585,143.270900,0.069300,99.088563,0.118840,0.112620,96.745462,0.090000,0.136245,95.313106,0.178009,0.192167,93.544506,0.166298,0.237620
5.000000,Bond A,120.423269,6.177438,0.167852,0.037618,99.756967,145.788203,0.000100,110.594323,0.112990,0.127968,108.267660,0.088747,0.135561,106.717020,0.186058,0.200754,105.085182,0.155007,0.227579
5.000000,Bond B,125.697528,11.289271,0.387618,0.236178,85.643385,178.088205,0.003800,108.726459,0.186532,0.195739,104.867062,0.149234,0.220246,102.018332,0.323889,0.302470,99.588258,0.283100,0.374147
5.000000,Portfolio,123.060398,3.907245,0.446647,0.479289,111.474253,143.975037,0.000000,117.106576,0.067915,0.086872,115.835953,0.047786,0.074545,115.124237,0.093380,0.096789,114.120287,0.090150,0.128000
10.000000,Bond A,146.882274,25.339352,0.569495,0.743022,81.109687,315.690828,0.014800,109.391162,0.381071,0.415220,102.185887,0.264035,0.410533,97.733388,0.554201,0.542732,92.562409,0.421384,0.645878
10.000000,Bond B,150.803591,5.921092,0.475308,0.570764,134.284956,188.943422,0.000000,141.785736,0.097632,0.099175,140.049400,0.066426,0.099941,138.935228,0.142687,0.175737,137.603413,0.110494,0.173693
10.000000,Portfolio,148.842933,15.617131,0.551993,0.709849,108.246776,252.317125,0.000000,125.568397,0.240481,0.282315,121.137261,0.164682,0.254639,118.396662,0.343905,0.346531,115.130032,0.267311,0.409183
