model,h,T_bond,level,P_now,VaR_price,ES_price,VaR_loss,ES_loss,VaR_pct,ES_pct
Vasicek,1.0,10.0,0.99,0.6750069099320852,0.6755037082626746,0.6718662292642318,-0.0004967983305893542,0.003140680667853446,-0.0007359899925162822,0.0046528126181248144
Vasicek,1.0,10.0,0.95,0.6750069099320852,0.6829209335831511,0.6783753750434719,-0.00791402365106586,-0.003368465111386665,-0.01172435946153813,-0.004990267598483662
Hull-White,1.0,10.0,0.99,0.6563174600434178,0.6556547404198261,0.6521637329602036,0.0006627196235917676,0.004153727083214265,0.0010097546750438824,0.006328838307820548
Hull-White,1.0,10.0,0.95,0.6563174600434178,0.6626499912650902,0.6583412529792652,-0.006332531221672322,-0.002023792935847313,-0.009648579547546093,-0.0030835579716459644
Vasicek,2.0,10.0,0.99,0.6750069099320852,0.6978409933150206,0.6934816886046197,-0.022834083382935355,-0.018474778672534442,-0.03382792538410129,-0.027369762295312284
Vasicek,2.0,10.0,0.95,0.6750069099320852,0.7067453019224084,0.701288858948801,-0.031738391990323134,-0.026281949016715767,-0.04701935865147876,-0.0389358221819686
Hull-White,2.0,10.0,0.99,0.6563174600434178,0.6764879072386947,0.6723092009395717,-0.02017044719527683,-0.01599174089615385,-0.030732760322942622,-0.02436586236041311
Hull-White,2.0,10.0,0.95,0.6563174600434178,0.684874920095687,0.6797093495748877,-0.028557460052269112,-0.023391889531469867,-0.04351165676802188,-0.03564112027420756
Vasicek,5.0,10.0,0.99,0.6750069099320852,0.785050426347835,0.7801357904594747,-0.11004351641574972,-0.10512888052738945,-0.16302576284266715,-0.15574489531961505
Vasicek,5.0,10.0,0.95,0.6750069099320852,0.795089321014395,0.7889376266641032,-0.12008241108230977,-0.11393071673201793,-0.1778980471390903,-0.16878451917400505
Hull-White,5.0,10.0,0.99,0.6563174600434178,0.7588365715186685,0.7541391082571154,-0.10251911147525061,-0.09782164821369754,-0.15620354129915817,-0.14904623778746687
Hull-White,5.0,10.0,0.95,0.6563174600434178,0.7682650143804853,0.7624580334168385,-0.11194755433706749,-0.10614057337342064,-0.1705692155891476,-0.16172139221528412
