k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
0,0.0,A,0.0030771241313212456,3.4876446580247936e-05,0.0030999999999999995,0.0,-2.287586867875382e-05,-0.22875868678753822,-0.6559116802830891
1,0.08333333333333333,A,0.003094744149476843,3.389554620400323e-05,0.0031117516541171613,2.4048365286283314e-06,-1.700750464031812e-05,-0.17007504640318122,-0.5017622238024136
2,0.16666666666666666,A,0.0031413206388792064,3.252312771147164e-05,0.0031226571329557363,3.351356151308919e-06,1.8663505923470144e-05,0.18663505923470144,0.5738533541128981
3,0.25,A,0.0031048097155883547,3.2124092546661394e-05,0.0031305430655556043,3.971039738257651e-06,-2.573334996724963e-05,-0.2573334996724963,-0.8010607592999248
4,0.3333333333333333,A,0.0031659960344954333,3.1109447848234066e-05,0.003141446456552313,4.560877856660575e-06,2.4549577943120456e-05,0.24549577943120457,0.7891357655360642
5,0.41666666666666663,A,0.0031903434290381136,3.012995165369962e-05,0.003148047021848351,4.9541367886379214e-06,4.229640718976264e-05,0.42296407189762636,1.4037993713331802
6,0.5,A,0.003134741592483621,2.905093760648403e-05,0.0031528802355903158,5.303554920585765e-06,-1.8138643106694642e-05,-0.1813864310669464,-0.6243737586853714
7,0.5833333333333333,A,0.0031725107171705113,2.7551660495691704e-05,0.0031625142956896815,5.632753649902652e-06,9.996421480829801e-06,0.09996421480829801,0.3628246465360212
8,0.6666666666666666,A,0.003175055721590152,2.6347342063660126e-05,0.00316934269637089,5.857909357726069e-06,5.713025219262081e-06,0.05713025219262081,0.21683497354148054
9,0.75,A,0.003165636303195121,2.5348050408579283e-05,0.0031762736130569623,6.068565863243036e-06,-1.0637309861841453e-05,-0.10637309861841454,-0.4196500200363006
10,0.8333333333333333,A,0.003198383076040147,2.4029761275974564e-05,0.003184529359594322,6.267596055928145e-06,1.3853716445824844e-05,0.13853716445824843,0.5765232657419725
11,0.9166666666666666,A,0.003213709897491016,2.2752704088165865e-05,0.0031900079305288835,6.486752691687175e-06,2.370196696213243e-05,0.2370196696213243,1.0417208816274413
12,1.0,A,0.003205296240605144,2.1340487618704975e-05,0.003194129410797616,6.6705551016494775e-06,1.11668298075282e-05,0.111668298075282,0.5232696650164851
13,1.0833333333333333,A,0.0032140574192284104,2.0053396841203242e-05,0.003199426289167329,6.803047618609529e-06,1.4631130061081455e-05,0.14631130061081454,0.7296085634239889
14,1.1666666666666665,A,0.003210013619462094,1.8429868899480245e-05,0.0032040269007280573,6.919226980851023e-06,5.986718734036622e-06,0.05986718734036622,0.3248378361609212
15,1.25,A,0.0032402672644798146,1.7096884427256678e-05,0.0032095526983567245,7.041118109862542e-06,3.0714566123090075e-05,0.30714566123090076,1.7965007749671298
16,1.3333333333333333,A,0.003193365848990436,1.5560588573515728e-05,0.003211062556651121,7.1327696562233784e-06,-1.7696707660684596e-05,-0.17696707660684596,-1.1372775250162814
17,1.4166666666666665,A,0.003240864396630783,1.4181510545335633e-05,0.00322044388929192,7.208284636861041e-06,2.042050733886292e-05,0.2042050733886292,1.4399388043736514
18,1.5,A,0.0032286869254161276,1.2652474999935474e-05,0.003222504620378375,7.268420701197076e-06,6.182305037752411e-06,0.061823050377524114,0.4886241654525253
