k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
0,0.0,B,0.0030598776560823316,5.362326355219593e-05,0.0030999999999999995,0.0,-4.0122343917667856e-05,-0.4012234391766786,-0.748226446132162
1,0.08333333333333333,B,0.003079715258486295,5.3378017644437794e-05,0.0031117516541171613,2.4048365286283314e-06,-3.203639563086622e-05,-0.3203639563086622,-0.6001795691302624
2,0.16666666666666666,B,0.003147170339855984,5.249150996788267e-05,0.0031226571329557363,3.351356151308919e-06,2.451320690024768e-05,0.2451320690024768,0.4669937465172229
3,0.25,B,0.003081856001063725,5.3383636545758134e-05,0.0031305430655556043,3.971039738257651e-06,-4.8687064491879234e-05,-0.48687064491879234,-0.9120222533012864
4,0.3333333333333333,B,0.0031774440972864135,5.312135473392456e-05,0.003141446456552313,4.560877856660575e-06,3.599764073410061e-05,0.3599764073410061,0.677649147210315
5,0.41666666666666663,B,0.0032167442053263797,5.3147900333810555e-05,0.003148047021848351,4.9541367886379214e-06,6.869718347802872e-05,0.6869718347802872,1.292566273485057
6,0.5,B,0.0031122880759048986,5.3076077636249485e-05,0.0031528802355903158,5.303554920585765e-06,-4.059215968541712e-05,-0.4059215968541712,-0.7647920022201076
7,0.5833333333333333,B,0.003173862721661731,5.211332753701317e-05,0.0031625142956896815,5.632753649902652e-06,1.1348425972049735e-05,0.11348425972049735,0.217764370620732
8,0.6666666666666666,B,0.0031723207664753703,5.191835724164868e-05,0.00316934269637089,5.857909357726069e-06,2.9780701044802155e-06,0.029780701044802155,0.0573606381769572
9,0.75,B,0.0031447471450006567,5.22367803353068e-05,0.0031762736130569623,6.068565863243036e-06,-3.1526468056305556e-05,-0.31526468056305557,-0.6035300769675661
10,0.8333333333333333,B,0.00320558238387158,5.209866279468286e-05,0.003184529359594322,6.267596055928145e-06,2.10530242772582e-05,0.21053024277258198,0.40409912938124104
11,0.9166666666666666,B,0.0032351980269386717,5.196952427528032e-05,0.0031900079305288835,6.486752691687175e-06,4.519009640978821e-05,0.4519009640978821,0.8695499341194318
12,1.0,B,0.003210180953575106,5.150395730432967e-05,0.003194129410797616,6.6705551016494775e-06,1.6051542777490053e-05,0.16051542777490052,0.31165649432807147
13,1.0833333333333333,B,0.0032256785660377076,5.157360226586514e-05,0.003199426289167329,6.803047618609529e-06,2.6252276870378666e-05,0.26252276870378666,0.5090254649083177
14,1.1666666666666665,B,0.0032063872522960423,5.0933667317338223e-05,0.0032040269007280573,6.919226980851023e-06,2.3603515679850896e-06,0.023603515679850896,0.046341677171586805
15,1.25,B,0.003291868387591116,5.102026049239681e-05,0.0032095526983567245,7.041118109862542e-06,8.231568923439169e-05,0.8231568923439169,1.6133921787141525
16,1.3333333333333333,B,0.0031262935249305565,5.0648253137094816e-05,0.003211062556651121,7.1327696562233784e-06,-8.476903172056427e-05,-0.8476903172056427,-1.6736812519695645
17,1.4166666666666665,B,0.0032812645351864363,5.0958584985769476e-05,0.00322044388929192,7.208284636861041e-06,6.0820645894516315e-05,0.6082064589451631,1.1935309018392266
18,1.5,B,0.0032238293122178532,5.119256018583191e-05,0.003222504620378375,7.268420701197076e-06,1.3246918394780975e-06,0.013246918394780975,0.025876647596240365
19,1.5833333333333333,B,0.003206516065396363,5.124852434080941e-05,0.003227341583204332,7.378143421002839e-06,-2.0825517807968735e-05,-0.20825517807968735,-0.40636326754456986
20,1.6666666666666665,B,0.0032309536347743533,5.037394858292852e-05,0.0032330464208827543,7.453786384373201e-06,-2.0927861084010096e-06,-0.020927861084010096,-0.041545008228921015
